Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Nickeil Alexander-Walker,Timberwolves,4-Nov-23,MIN vs. UTA,W,18,0,3,0.00%,0,1,0.00%,0,1,0.00%,1,2,3,1,2,3,0,0,0,1
Nickeil Alexander-Walker,Timberwolves,1-Nov-23,MIN vs. DEN,W,21,2,6,33.30%,1,2,50.00%,0,0,0.00%,0,0,0,1,0,1,0,2,5,2
Nickeil Alexander-Walker,Timberwolves,30-Oct-23,MIN @ ATL,L,13,1,3,33.30%,1,3,33.30%,0,2,0.00%,0,0,0,2,0,0,1,1,3,-9
Nickeil Alexander-Walker,Timberwolves,28-Oct-23,MIN vs. MIA,W,23,2,8,25.00%,1,6,16.70%,0,0,0.00%,0,3,3,3,1,2,3,3,5,8
Nickeil Alexander-Walker,Timberwolves,25-Oct-23,MIN @ TOR,L,23,1,5,20.00%,0,3,0.00%,0,0,0.00%,0,4,4,2,1,0,1,3,2,-17
Nickeil Alexander-Walker - Average,Average,,,,19.1,1.8,4.7,33.70%,0.9,2.7,35.20%,0.2,0.7,11.10%,0.1,2.1,2.2,2.8,0.9,0.8,0.9,1.6,4.7,-0.4
Grayson Allen,Suns,12-Nov-23,PHX vs. OKC,L,32,2,8,25.00%,1,3,33.30%,2,2,100.00%,2,4,6,1,1,1,2,2,7,-19
Grayson Allen,Suns,10-Nov-23,PHX vs. LAL,L,32,4,8,50.00%,1,4,25.00%,0,0,0.00%,2,7,9,4,1,0,2,6,9,-5
Grayson Allen,Suns,8-Nov-23,PHX @ CHI,W,37,9,16,56.30%,8,13,61.50%,0,0,0.00%,0,8,8,4,1,2,1,3,26,8
Grayson Allen,Suns,5-Nov-23,PHX @ DET,W,30,6,12,50.00%,1,3,33.30%,1,1,100.00%,1,3,4,2,0,0,4,1,14,6
Grayson Allen,Suns,4-Nov-23,PHX @ PHI,L,27,3,7,42.90%,2,5,40.00%,0,0,0.00%,1,2,3,2,0,0,1,3,8,0
