Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,FieldGoals,FieldGoalsAttempted,FieldGoalPercentage,ThreePointers,ThreePointersAttempted,ThreePointPercentage,TwoPointers,TwoPointersAttempted,TwoPointersPercentage,EffectiveFieldGoalPercentage,FreeThrows,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points
Jaden Ivey,SG,21,DET,6,0,20.7,4.3,8.8,.491,1.5,3.7,.409,2.8,5.2,.548,.575,1.7,2.0,.833,0.7,1.8,2.5,2.5,0.7,0.5,1.8,3.2,11.8
Andre Jackson Jr.,SG,22,MIL,4,0,5.5,0.3,0.5,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,1.0,1.3,1.0,0.8,0.0,0.3,2.3,0.5
Gregory Jackson II,PF,19,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,C,22,IND,4,0,14.0,2.3,3.5,.643,0.0,0.0,,2.3,3.5,.643,.643,0.8,1.3,.600,1.0,2.3,3.3,0.5,0.3,2.0,0.3,2.8,5.3
Jaren Jackson Jr.,C,24,MEM,9,9,31.8,7.6,15.2,.496,1.8,5.2,.340,5.8,10.0,.578,.555,4.6,5.7,.804,1.9,4.9,6.8,2.4,0.3,1.9,1.8,3.2,21.4
Reggie Jackson,PG,33,DEN,9,2,23.0,3.8,8.8,.430,1.4,4.0,.361,2.3,4.8,.488,.513,0.6,1.0,.556,0.1,1.4,1.6,3.8,1.0,0.3,1.1,1.4,9.6
Trayce Jackson-Davis,PF,23,GSW,6,0,9.2,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,.600,1.3,2.3,.571,1.3,1.3,2.7,0.3,0.2,0.8,0.3,1.8,4.3
LeBron James,PF,39,LAL,9,9,35.0,9.7,17.0,.569,1.8,5.1,.348,7.9,11.9,.664,.621,4.1,6.2,.661,0.6,7.9,8.4,5.4,1.3,1.0,4.1,1.6,25.2
Jaime Jaquez Jr.,SF,22,MIA,8,2,18.6,2.8,5.5,.500,0.6,2.5,.250,2.1,3.0,.708,.557,0.4,0.5,.750,0.9,2.0,2.9,1.9,1.1,0.3,1.0,2.1,6.5
DaQuan Jeffries,SG,26,NYK,3,0,3.0,0.7,1.3,.500,0.3,1.0,.333,0.3,0.3,1.000,.625,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,1.7
Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
Isaiah Joe,SG,24,OKC,9,0,19.9,2.9,7.6,.382,2.4,6.2,.393,0.4,1.3,.333,.544,1.2,1.6,.786,0.1,1.9,2.0,1.1,0.7,0.0,0.9,1.3,9.4
Cameron Johnson,PF,27,BRK,2,2,25.5,4.5,11.5,.391,2.0,5.0,.400,2.5,6.5,.385,.478,0.5,1.0,.500,2.0,3.0,5.0,1.5,1.0,0.0,1.5,2.0,11.5
Jalen Johnson,SF,22,ATL,8,5,30.3,6.1,10.3,.598,1.0,2.9,.348,5.1,7.4,.695,.646,1.6,2.5,.650,2.0,6.9,8.9,2.6,1.1,0.8,2.0,2.6,14.9
Keldon Johnson,SF,24,SAS,9,9,31.8,5.8,13.1,.441,1.4,4.6,.317,4.3,8.6,.506,.496,1.8,2.7,.667,0.9,4.6,5.4,4.1,0.8,0.2,1.2,3.0,14.8
Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokić,C,28,DEN,9,9,34.2,11.9,19.1,.622,1.4,4.3,.333,10.4,14.8,.707,.660,3.9,5.4,.714,3.1,9.8,12.9,8.0,1.1,0.8,3.4,2.1,29.1
Colby Jones,SG,21,SAC,5,0,10.0,1.6,3.4,.471,0.2,0.8,.250,1.4,2.6,.538,.500,0.4,0.4,1.000,1.0,1.4,2.4,0.4,0.2,0.2,0.6,1.0,3.8
Damian Jones,C,28,CLE,5,0,6.6,0.6,0.6,1.000,0.0,0.0,,0.6,0.6,1.000,1.000,0.2,0.4,.500,0.4,1.0,1.4,0.4,0.0,0.2,0.4,0.6,1.4
Derrick Jones Jr.,SF,26,DAL,9,9,22.7,3.4,6.8,.508,1.4,3.9,.371,2.0,2.9,.692,.615,0.8,1.1,.700,0.9,2.6,3.4,1.0,0.7,0.7,0.9,1.2,9.1
Herbert Jones,SF,25,NOP,7,7,31.1,3.4,7.3,.471,0.9,3.3,.261,2.6,4.0,.643,.529,2.3,2.6,.889,0.6,3.3,3.9,1.7,1.6,1.6,1.3,3.4,10.0
Tre Jones,PG,24,SAS,9,0,25.8,3.2,7.2,.446,0.6,2.2,.250,2.7,5.0,.533,.485,1.8,1.9,.941,0.8,2.4,3.2,6.0,0.8,0.4,1.4,1.3,8.8
Tyus Jones,PG,27,WAS,8,8,26.8,4.4,9.4,.467,1.5,3.9,.387,2.9,5.5,.523,.547,0.3,0.5,.500,0.5,2.3,2.8,5.3,1.0,0.3,1.0,1.3,10.5
DeAndre Jordan,C,35,DEN,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
Cory Joseph,PG,32,GSW,3,0,3.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.3,0.3,0.7,0.7,0.3,0.0,0.0,0.7,0.0
Nikola Jović,PF,20,MIA,2,1,14.0,2.0,4.0,.500,1.5,2.5,.600,0.5,1.5,.333,.688,1.0,1.0,1.000,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5
Luke Kennard,SG,27,MEM,6,0,23.7,2.8,8.0,.354,2.2,6.3,.342,0.7,1.7,.400,.490,1.0,1.0,1.000,0.3,2.8,3.2,2.3,0.7,0.2,0.8,0.5,8.8
Walker Kessler,C,22,UTA,8,8,24.0,3.5,6.4,.549,0.3,0.8,.333,3.3,5.6,.578,.569,1.0,1.6,.615,3.4,4.5,7.9,0.3,0.0,2.1,1.0,2.1,8.3
Braxton Key,SF,26,DEN,4,0,2.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.0,0.5,0.5
Corey Kispert,SF,24,WAS,7,0,21.0,3.7,7.6,.491,2.0,4.9,.412,1.7,2.7,.632,.623,1.1,1.6,.727,0.4,2.1,2.6,0.9,0.1,0.0,1.3,1.6,10.6
Maxi Kleber,C,32,DAL,5,1,18.0,0.8,3.2,.250,0.6,1.8,.333,0.2,1.4,.143,.344,1.2,2.0,.600,0.8,3.4,4.2,2.0,0.2,0.2,0.8,1.6,3.4
John Konchar,SF,27,MEM,6,0,20.2,1.7,3.7,.455,0.8,2.0,.417,0.8,1.7,.500,.568,0.0,0.0,,1.2,3.5,4.7,1.3,0.8,0.8,0.2,0.7,4.2
Furkan Korkmaz,SG,26,PHI,6,0,10.2,1.2,2.5,.467,0.5,1.0,.500,0.7,1.5,.444,.567,0.5,0.8,.600,0.2,0.8,1.0,0.5,0.7,0.0,0.7,0.5,3.3
Luke Kornet,C,28,BOS,7,0,10.9,1.4,2.0,.714,0.0,0.0,,1.4,2.0,.714,.714,0.7,0.9,.833,1.3,1.7,3.0,0.6,0.4,0.3,0.1,1.0,3.6
Jonathan Kuminga,PF,21,GSW,8,0,20.1,4.5,10.6,.424,0.5,2.3,.222,4.0,8.4,.478,.447,2.9,3.9,.742,1.0,2.0,3.0,0.8,0.6,0.5,1.5,2.8,12.4
Kyle Kuzma,PF,28,WAS,8,8,29.3,9.8,19.6,.497,2.5,7.0,.357,7.3,12.6,.574,.561,2.0,2.4,.842,1.4,5.4,6.8,3.0,0.1,0.4,1.9,1.3,24.0
Jock Landale,C,28,HOU,6,0,12.5,0.8,3.0,.278,0.3,1.5,.222,0.5,1.5,.333,.333,0.3,0.3,1.000,1.2,1.3,2.5,1.2,0.5,0.3,0.8,0.8,2.3
