SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Player,Team
22023,1628971,0022300158,8-Nov-23,IND vs. UTA,W,32,4,11,0.364,1,4,0.25,0,0,0,0,4,4,0,2,1,2,2,9,13,Bruce Brown,Pacers
22023,1628971,0022300146,6-Nov-23,IND vs. SAS,W,24,3,7,0.429,1,3,0.333,0,0,0,0,5,5,4,0,0,0,1,7,21,Bruce Brown,Pacers
22023,1628971,0022300133,4-Nov-23,IND vs. CHA,L,32,3,8,0.375,1,4,0.25,0,0,0,0,1,1,6,2,0,0,3,7,7,Bruce Brown,Pacers
22023,1628971,0022300001,3-Nov-23,IND vs. CLE,W,37,8,15,0.533,3,6,0.5,0,0,0,1,6,7,2,0,0,2,2,19,9,Bruce Brown,Pacers
22023,1628971,0022300118,1-Nov-23,IND @ BOS,L,21,1,6,0.167,0,3,0,1,2,0.5,0,1,1,1,1,0,0,1,3,-25,Bruce Brown,Pacers
22023,1628971,0022300102,30-Oct-23,IND vs. CHI,L,37,6,12,0.5,3,6,0.5,0,0,0,2,5,7,1,1,0,3,2,15,-13,Bruce Brown,Pacers
22023,1628971,0022300091,28-Oct-23,IND @ CLE,W,32,3,8,0.375,0,1,0,0,0,0,0,4,4,2,1,0,0,3,6,0,Bruce Brown,Pacers
22023,1628971,0022300064,25-Oct-23,IND vs. WAS,W,27,8,11,0.727,6,8,0.75,2,2,1,1,2,3,1,1,0,1,3,24,15,Bruce Brown,Pacers
22023,1627759,0022300174,11-Nov-23,BOS vs. TOR,W,32,12,20,0.6,3,8,0.375,2,3,0.667,1,4,5,2,0,0,2,1,29,9,Jaylen Brown,Celtics
22023,1627759,0022300010,10-Nov-23,BOS vs. BKN,W,29,10,19,0.526,5,9,0.556,3,5,0.6,0,3,3,5,1,0,3,0,28,6,Jaylen Brown,Celtics
22023,1627759,0022300159,8-Nov-23,BOS @ PHI,L,36,4,13,0.308,2,7,0.286,1,2,0.5,0,2,2,2,1,1,4,2,11,-3,Jaylen Brown,Celtics
22023,1627759,0022300154,6-Nov-23,BOS @ MIN,L,39,10,21,0.476,3,8,0.375,3,4,0.75,0,7,7,4,1,0,3,5,26,-16,Jaylen Brown,Celtics
