Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Ochai Agbaji - Average,Average,,,,16.2,1.7,4.1,,1.0,2.7,,0.0,0.2,,0.5,1.7,2.2,1.0,0.2,0.6,0.7,1.3,4.4,-3.2
Santi Aldama,Grizzlies,"NOV 12, 2023",MEM @ LAC,W,21.0,4.0,8.0,50.0%,1.0,4.0,25.0%,0.0,0.0,0.0%,0.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,9.0,3.0
Santi Aldama,Grizzlies,"NOV 10, 2023",MEM vs. UTA,L,13.0,2.0,3.0,66.7%,1.0,1.0,100.0%,1.0,2.0,50.0%,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0
Santi Aldama,Grizzlies,"NOV 08, 2023",MEM vs. MIA,L,26.0,5.0,14.0,35.7%,2.0,4.0,50.0%,0.0,2.0,0.0%,2.0,6.0,8.0,0.0,2.0,1.0,1.0,4.0,12.0,8.0
Santi Aldama,Grizzlies,"NOV 05, 2023",MEM @ POR,W,20.0,3.0,8.0,37.5%,1.0,3.0,33.3%,0.0,0.0,0.0%,1.0,4.0,5.0,3.0,0.0,0.0,2.0,0.0,7.0,-4.0
Santi Aldama - Average,Average,,,,20.0,3.5,8.25,,1.25,3.0,,0.25,1.0,,0.75,3.75,4.5,1.25,0.5,0.5,1.25,1.5,8.5,2.25
Nickeil Alexander-Walker,Timberwolves,"NOV 12, 2023",MIN @ GSW,W,17.0,4.0,6.0,66.7%,2.0,3.0,66.7%,0.0,0.0,0.0%,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,10.0,0.0
Nickeil Alexander-Walker,Timberwolves,"NOV 10, 2023",MIN @ SAS,W,19.0,3.0,4.0,75.0%,1.0,1.0,100.0%,2.0,2.0,100.0%,0.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,9.0,11.0
Nickeil Alexander-Walker,Timberwolves,"NOV 08, 2023",MIN vs. NOP,W,18.0,0.0,1.0,0.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,4.0,4.0,8.0,1.0,0.0,2.0,0.0,0.0,-13.0
Nickeil Alexander-Walker,Timberwolves,"NOV 06, 2023",MIN vs. BOS,W,20.0,3.0,6.0,50.0%,2.0,4.0,50.0%,0.0,1.0,0.0%,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,8.0,13.0
Nickeil Alexander-Walker,Timberwolves,"NOV 04, 2023",MIN vs. UTA,W,18.0,0.0,3.0,0.0%,0.0,1.0,0.0%,0.0,1.0,0.0%,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0
Nickeil Alexander-Walker,Timberwolves,"NOV 01, 2023",MIN vs. DEN,W,21.0,2.0,6.0,33.3%,1.0,2.0,50.0%,0.0,0.0,0.0%,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,2.0
Nickeil Alexander-Walker,Timberwolves,"OCT 30, 2023",MIN @ ATL,L,13.0,1.0,3.0,33.3%,1.0,3.0,33.3%,0.0,2.0,0.0%,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,-9.0
Nickeil Alexander-Walker,Timberwolves,"OCT 28, 2023",MIN vs. MIA,W,23.0,2.0,8.0,25.0%,1.0,6.0,16.7%,0.0,0.0,0.0%,0.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0,8.0
Nickeil Alexander-Walker,Timberwolves,"OCT 25, 2023",MIN @ TOR,L,23.0,1.0,5.0,20.0%,0.0,3.0,0.0%,0.0,0.0,0.0%,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,2.0,-17.0
Nickeil Alexander-Walker - Average,Average,,,,19.11111111111111,1.7777777777777777,4.666666666666667,,0.8888888888888888,2.6666666666666665,,0.2222222222222222,0.6666666666666666,,0.1111111111111111,2.111111111111111,2.2222222222222223,2.7777777777777777,0.8888888888888888,0.7777777777777778,0.8888888888888888,1.5555555555555556,4.666666666666667,-0.4444444444444444
Grayson Allen,Suns,"NOV 12, 2023",PHX vs. OKC,L,32.0,2.0,8.0,25.0%,1.0,3.0,33.3%,2.0,2.0,100.0%,2.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,-19.0
Grayson Allen,Suns,"NOV 10, 2023",PHX vs. LAL,L,32.0,4.0,8.0,50.0%,1.0,4.0,25.0%,0.0,0.0,0.0%,2.0,7.0,9.0,4.0,1.0,0.0,2.0,6.0,9.0,-5.0
Grayson Allen,Suns,"NOV 08, 2023",PHX @ CHI,W,37.0,9.0,16.0,56.3%,8.0,13.0,61.5%,0.0,0.0,0.0%,0.0,8.0,8.0,4.0,1.0,2.0,1.0,3.0,26.0,8.0
Grayson Allen,Suns,"NOV 05, 2023",PHX @ DET,W,30.0,6.0,12.0,50.0%,1.0,3.0,33.3%,1.0,1.0,100.0%,1.0,3.0,4.0,2.0,0.0,0.0,4.0,1.0,14.0,6.0
Grayson Allen,Suns,"NOV 04, 2023",PHX @ PHI,L,27.0,3.0,7.0,42.9%,2.0,5.0,40.0%,0.0,0.0,0.0%,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,8.0,0.0
Grayson Allen,Suns,"NOV 02, 2023",PHX vs. SAS,L,33.0,6.0,10.0,60.0%,4.0,5.0,80.0%,0.0,0.0,0.0%,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,16.0,-10.0
