Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Santi Aldama - Average,Average,,,,21.0,4.6,9.6,50.0%,1.6,4.0,49.2%,0.8,1.8,22.0%,0.6,4.0,4.6,1.8,0.4,0.8,1.6,1.2,11.6,-1.8
Nickeil Alexander-Walker,Timberwolves,"NOV 14, 2023",MIN @ GSW,W,25,2,5,40.0%,1,4,25.0%,0,0,0.0%,0,0,0,1,1,1,2,1,5,-16
Nickeil Alexander-Walker,Timberwolves,"NOV 12, 2023",MIN @ GSW,W,17,4,6,66.7%,2,3,66.7%,0,0,0.0%,0,2,2,1,2,0,0,2,10,0
Nickeil Alexander-Walker,Timberwolves,"NOV 10, 2023",MIN @ SAS,W,19,3,4,75.0%,1,1,100.0%,2,2,100.0%,0,3,3,4,0,1,0,0,9,11
Nickeil Alexander-Walker,Timberwolves,"NOV 08, 2023",MIN vs. NOP,W,18,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,4,4,8,1,0,2,0,0,-13
Nickeil Alexander-Walker,Timberwolves,"NOV 06, 2023",MIN vs. BOS,W,20,3,6,50.0%,2,4,50.0%,0,1,0.0%,0,1,1,3,1,0,1,3,8,13
Nickeil Alexander-Walker,Timberwolves,"NOV 04, 2023",MIN vs. UTA,W,18,0,3,0.0%,0,1,0.0%,0,1,0.0%,1,2,3,1,2,3,0,0,0,1
Nickeil Alexander-Walker,Timberwolves,"NOV 01, 2023",MIN vs. DEN,W,21,2,6,33.3%,1,2,50.0%,0,0,0.0%,0,0,0,1,0,1,0,2,5,2
Nickeil Alexander-Walker,Timberwolves,"OCT 30, 2023",MIN @ ATL,L,13,1,3,33.3%,1,3,33.3%,0,2,0.0%,0,0,0,2,0,0,1,1,3,-9
Nickeil Alexander-Walker,Timberwolves,"OCT 28, 2023",MIN vs. MIA,W,23,2,8,25.0%,1,6,16.7%,0,0,0.0%,0,3,3,3,1,2,3,3,5,8
Nickeil Alexander-Walker,Timberwolves,"OCT 25, 2023",MIN @ TOR,L,23,1,5,20.0%,0,3,0.0%,0,0,0.0%,0,4,4,2,1,0,1,3,2,-17
